,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
0,1630173,"Achiuwa, Precious",Precious Achiuwa,1,2020,2021,precious_achiuwa,precious_achiuwa,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
1,203500,"Adams, Steven",Steven Adams,1,2013,2021,steven_adams,steven_adams,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
2,1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2021,bam_adebayo,bam_adebayo,1610612748,Miami,Heat,MIA,heat,heat,Y,00
3,1630583,"Aldama, Santi",Santi Aldama,1,2021,2021,santi_aldama,santi_aldama,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
4,200746,"Aldridge, LaMarcus",LaMarcus Aldridge,1,2006,2021,lamarcus_aldridge,lamarcus_aldridge,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
5,1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,1,2019,2021,nickeil_alexander-walker,nickeil_alexander-walker,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
6,1628960,"Allen, Grayson",Grayson Allen,1,2018,2021,grayson_allen,grayson_allen,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
7,1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2021,jarrett_allen,jarrett_allen,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
8,1630631,"Alvarado, Jose",Jose Alvarado,1,2021,2021,jose_alvarado,jose_alvarado,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
10,203937,"Anderson, Kyle",Kyle Anderson,1,2014,2021,kyle_anderson,kyle_anderson,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01
11,203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2021,giannis_antetokounmpo,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
12,203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2021,thanasis_antetokounmpo,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
13,2546,"Anthony, Carmelo",Carmelo Anthony,1,2003,2021,carmelo_anthony,carmelo_anthony,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
14,1630175,"Anthony, Cole",Cole Anthony,1,2020,2021,cole_anthony,cole_anthony,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
15,1628384,"Anunoby, OG",OG Anunoby,1,2017,2021,og_anunoby,og_anunoby,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
16,1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2021,ryan_arcidiacono,ryan_arcidiacono,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11
18,201571,"Augustin, D.J.",D.J. Augustin,1,2008,2021,d.j._augustin,dj_augustin,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
19,1630166,"Avdija, Deni",Deni Avdija,1,2020,2021,deni_avdija,deni_avdija,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
21,1629028,"Ayton, Deandre",Deandre Ayton,1,2018,2021,deandre_ayton,deandre_ayton,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
22,1628962,"Azubuike, Udoka",Udoka Azubuike,1,2020,2021,udoka_azubuike,udoka_azubuike,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
23,1628963,"Bagley III, Marvin",Marvin Bagley III,1,2018,2021,marvin_bagley_iii,marvin_bagley_iii,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
24,1630163,"Ball, LaMelo",LaMelo Ball,1,2020,2021,lamelo_ball,lamelo_ball,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
25,1628366,"Ball, Lonzo",Lonzo Ball,1,2017,2021,lonzo_ball,lonzo_ball,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
26,1628964,"Bamba, Mo",Mo Bamba,1,2018,2021,mohamed_bamba,mo_bamba,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
27,1630217,"Bane, Desmond",Desmond Bane,1,2020,2021,desmond_bane,desmond_bane,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
28,1630625,"Banton, Dalano",Dalano Banton,1,2021,2021,dalano_banton,dalano_banton,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
30,203084,"Barnes, Harrison",Harrison Barnes,1,2012,2021,harrison_barnes,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
31,1630567,"Barnes, Scottie",Scottie Barnes,1,2021,2021,scottie_barnes,scottie_barnes,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
32,1629628,"Barrett, RJ",RJ Barrett,1,2019,2021,rj_barrett,rj_barrett,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
33,203115,"Barton, Will",Will Barton,1,2012,2021,will_barton,will_barton,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,01
35,1629646,"Bassey, Charles",Charles Bassey,1,2021,2021,charles_bassey,charles_bassey,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
36,1628966,"Bates-Diop, Keita",Keita Bates-Diop,1,2018,2021,keita_bates-diop,keita_bates-diop,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
37,201587,"Batum, Nicolas",Nicolas Batum,1,2008,2021,nicolas_batum,nicolas_batum,1610612746,LA,Clippers,LAC,clippers,clippers,Y,00
38,203145,"Bazemore, Kent",Kent Bazemore,1,2012,2021,kent_bazemore,kent_bazemore,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
39,1629647,"Bazley, Darius",Darius Bazley,1,2019,2021,darius_bazley,darius_bazley,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00
40,203078,"Beal, Bradley",Bradley Beal,1,2012,2021,bradley_beal,bradley_beal,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
41,1627736,"Beasley, Malik",Malik Beasley,1,2016,2021,malik_beasley,malik_beasley,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
44,202722,"Bertans, Davis",Davis Bertans,1,2016,2021,davis_bertans,davis_bertans,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
45,201976,"Beverley, Patrick",Patrick Beverley,1,2012,2021,patrick_beverley,patrick_beverley,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
46,1630180,"Bey, Saddiq",Saddiq Bey,1,2020,2021,saddiq_bey,saddiq_bey,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
47,203920,"Birch, Khem",Khem Birch,1,2017,2021,khem_birch,khem_birch,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
48,1629048,"Bitadze, Goga",Goga Bitadze,1,2019,2021,goga_bitadze,goga_bitadze,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01
